game,date,answer
0,2021-06-19,CIGAR
1,2021-06-20,REBUT
2,2021-06-21,SISSY
3,2021-06-22,HUMPH
4,2021-06-23,AWAKE
5,2021-06-24,BLUSH
6,2021-06-25,FOCAL
7,2021-06-26,EVADE
8,2021-06-27,NAVAL
9,2021-06-28,SERVE
10,2021-06-29,HEATH
11,2021-06-30,DWARF
12,2021-07-01,MODEL
13,2021-07-02,KARMA
14,2021-07-03,STINK
15,2021-07-04,GRADE
16,2021-07-05,QUIET
17,2021-07-06,BENCH
18,2021-07-07,ABATE
19,2021-07-08,FEIGN
20,2021-07-09,MAJOR
21,2021-07-10,DEATH
22,2021-07-11,FRESH
23,2021-07-12,CRUST
24,2021-07-13,STOOL
25,2021-07-14,COLON
26,2021-07-15,ABASE
27,2021-07-16,MARRY
28,2021-07-17,REACT
29,2021-07-18,BATTY
30,2021-07-19,PRIDE
31,2021-07-20,FLOSS
32,2021-07-21,HELIX
33,2021-07-22,CROAK
34,2021-07-23,STAFF
35,2021-07-24,PAPER
36,2021-07-25,UNFED
37,2021-07-26,WHELP
38,2021-07-27,TRAWL
39,2021-07-28,OUTDO
40,2021-07-29,ADOBE
41,2021-07-30,CRAZY
42,2021-07-31,SOWER
43,2021-08-01,REPAY
44,2021-08-02,DIGIT
45,2021-08-03,CRATE
46,2021-08-04,CLUCK
47,2021-08-05,SPIKE
48,2021-08-06,MIMIC
49,2021-08-07,POUND
50,2021-08-08,MAXIM
51,2021-08-09,LINEN
52,2021-08-10,UNMET
53,2021-08-11,FLESH
54,2021-08-12,BOOBY
55,2021-08-13,FORTH
56,2021-08-14,FIRST
57,2021-08-15,STAND
58,2021-08-16,BELLY
59,2021-08-17,IVORY
60,2021-08-18,SEEDY
61,2021-08-19,PRINT
62,2021-08-20,YEARN
63,2021-08-21,DRAIN
64,2021-08-22,BRIBE
65,2021-08-23,STOUT
66,2021-08-24,PANEL
67,2021-08-25,CRASS
68,2021-08-26,FLUME
69,2021-08-27,OFFAL
70,2021-08-28,AGREE
71,2021-08-29,ERROR
72,2021-08-30,SWIRL
73,2021-08-31,ARGUE
74,2021-09-01,BLEED
75,2021-09-02,DELTA
76,2021-09-03,FLICK
77,2021-09-04,TOTEM
78,2021-09-05,WOOER
79,2021-09-06,FRONT
80,2021-09-07,SHRUB
81,2021-09-08,PARRY
82,2021-09-09,BIOME
83,2021-09-10,LAPEL
84,2021-09-11,START
85,2021-09-12,GREET
86,2021-09-13,GONER
87,2021-09-14,GOLEM
88,2021-09-15,LUSTY
89,2021-09-16,LOOPY
90,2021-09-17,ROUND
91,2021-09-18,AUDIT
92,2021-09-19,LYING
93,2021-09-20,GAMMA
94,2021-09-21,LABOR
95,2021-09-22,ISLET
96,2021-09-23,CIVIC
97,2021-09-24,FORGE
98,2021-09-25,CORNY
99,2021-09-26,MOULT
100,2021-09-27,BASIC
101,2021-09-28,SALAD
102,2021-09-29,AGATE
103,2021-09-30,SPICY
104,2021-10-01,SPRAY
105,2021-10-02,ESSAY
106,2021-10-03,FJORD
107,2021-10-04,SPEND
108,2021-10-05,KEBAB
109,2021-10-06,GUILD
110,2021-10-07,ABACK
111,2021-10-08,MOTOR
112,2021-10-09,ALONE
113,2021-10-10,HATCH
114,2021-10-11,HYPER
115,2021-10-12,THUMB
116,2021-10-13,DOWRY
117,2021-10-14,OUGHT
118,2021-10-15,BELCH
119,2021-10-16,DUTCH
120,2021-10-17,PILOT
121,2021-10-18,TWEED
122,2021-10-19,COMET
123,2021-10-20,JAUNT
124,2021-10-21,ENEMA
125,2021-10-22,STEED
126,2021-10-23,ABYSS
127,2021-10-24,GROWL
128,2021-10-25,FLING
129,2021-10-26,DOZEN
130,2021-10-27,BOOZY
131,2021-10-28,ERODE
132,2021-10-29,WORLD
133,2021-10-30,GOUGE
134,2021-10-31,CLICK
135,2021-11-01,BRIAR
136,2021-11-02,GREAT
137,2021-11-03,ALTAR
138,2021-11-04,PULPY
139,2021-11-05,BLURT
140,2021-11-06,COAST
141,2021-11-07,DUCHY
142,2021-11-08,GROIN
143,2021-11-09,FIXER
144,2021-11-10,GROUP
145,2021-11-11,ROGUE
146,2021-11-12,BADLY
147,2021-11-13,SMART
148,2021-11-14,PITHY
149,2021-11-15,GAUDY
150,2021-11-16,CHILL
151,2021-11-17,HERON
152,2021-11-18,VODKA
153,2021-11-19,FINER
154,2021-11-20,SURER
155,2021-11-21,RADIO
156,2021-11-22,ROUGE
157,2021-11-23,PERCH
158,2021-11-24,RETCH
159,2021-11-25,WROTE
160,2021-11-26,CLOCK
161,2021-11-27,TILDE
162,2021-11-28,STORE
163,2021-11-29,PROVE
164,2021-11-30,BRING
165,2021-12-01,SOLVE
166,2021-12-02,CHEAT
167,2021-12-03,GRIME
168,2021-12-04,EXULT
169,2021-12-05,USHER
170,2021-12-06,EPOCH
171,2021-12-07,TRIAD
172,2021-12-08,BREAK
173,2021-12-09,RHINO
174,2021-12-10,VIRAL
175,2021-12-11,CONIC
176,2021-12-12,MASSE
177,2021-12-13,SONIC
178,2021-12-14,VITAL
179,2021-12-15,TRACE
180,2021-12-16,USING
181,2021-12-17,PEACH
182,2021-12-18,CHAMP
183,2021-12-19,BATON
184,2021-12-20,BRAKE
185,2021-12-21,PLUCK
186,2021-12-22,CRAZE
187,2021-12-23,GRIPE
188,2021-12-24,WEARY
189,2021-12-25,PICKY
190,2021-12-26,ACUTE
191,2021-12-27,FERRY
192,2021-12-28,ASIDE
193,2021-12-29,TAPIR
194,2021-12-30,TROLL
