game,date,answer,tries,solved,path,true_probability,true_rank
1777,2026-05-01,plume,3,True,soare guilt plume,0.0028906165767199556,55
1778,2026-05-02,bring,4,True,soare clipt wring bring,4.5430554192186686e-05,1013
1779,2026-05-03,puffy,3,True,soare mulct puffy,0.0008095786487096373,431
1780,2026-05-04,riser,3,True,soare reset riser,0.0012533610608621525,318
1781,2026-05-05,latch,3,True,soare canal latch,0.0011025306428254483,357
1782,2026-05-06,liken,3,True,soare clint liken,0.001660112247657431,225
1783,2026-05-07,budge,3,True,soare guilt budge,0.0018723688686309182,176
1784,2026-05-08,umbra,3,True,soare dairy umbra,0.0003632617464046758,515
1785,2026-05-09,satin,2,True,soare satin,0.0032250072820160136,28
1786,2026-05-10,parka,3,True,soare array parka,0.0007878179608456883,436
1787,2026-05-11,newly,3,True,soare denet newly,0.0015600208088643289,251
1788,2026-05-12,clock,4,True,soare biont flock clock,3.83579959263461e-05,1334
1789,2026-05-13,dowdy,4,True,soare mulct woody dowdy,0.0007682294709670994,437
1790,2026-05-14,waver,3,True,soare tangy waver,0.002160777771067336,128
1791,2026-05-15,creed,3,True,soare drier creed,0.002912190369180495,50
1792,2026-05-16,mover,2,True,soare mover,0.001960764757307519,165
1793,2026-05-17,bylaw,3,True,soare canal bylaw,0.0005795931474137729,459
1794,2026-05-18,loath,3,True,soare loamy loath,0.0016155578294428825,242
1795,2026-05-19,dusty,3,True,soare hists dusty,0.0019757835087531525,165
1796,2026-05-20,wreck,3,True,soare drier wreck,0.0018921563309124314,180
1797,2026-05-21,agree,3,True,soare large agree,3.5487178148827654e-05,1553
1798,2026-05-22,vocal,3,True,soare tonal vocal,0.0014781959770308094,271
1799,2026-05-23,chuck,3,True,soare mulct chuck,0.0013585827024688594,297
1800,2026-05-24,niece,3,True,soare guilt niece,0.0012737811575199943,328
1801,2026-05-25,visit,3,True,soare humps visit,0.002524792944458311,90
1802,2026-05-26,couch,3,True,soare mulct couch,0.0028776006946078206,57
1803,2026-05-27,stuff,3,True,soare slink stuff,0.001233036587747691,338
1804,2026-05-28,divot,4,True,soare biont pivot divot,2.4874341377076746e-05,2496
1805,2026-05-29,clang,3,True,soare clank clang,0.001618329838185159,237
1806,2026-05-30,smile,3,True,soare slide smile,7.047276582229738e-05,658
1807,2026-05-31,etude,3,True,soare guilt etude,0.0008816745518900221,402
1808,2026-06-01,chili,4,True,soare milty blind chili,0.00017806414197940875,549
1809,2026-06-02,basis,2,True,soare basis,0.002736770093513095,67
1810,2026-06-03,notch,3,True,soare mulct notch,0.0015204900123908967,256
1811,2026-06-04,alloy,3,True,soare bloat alloy,0.0026857412546732098,71
1812,2026-06-05,nobly,4,True,soare mulct login nobly,0.0018830514503679096,187
1813,2026-06-06,morph,3,True,soare worth morph,0.0001549569563796699,549
1814,2026-06-07,thumb,3,True,soare milty thumb,2.4837355010734497e-05,2578
1815,2026-06-08,mafia,3,True,soare canal mafia,0.0005826311764248543,443
1816,2026-06-09,wharf,2,True,soare wharf,0.0012041509792669154,338
1817,2026-06-10,align,3,True,soare canal align,0.0022809151468594227,116
1818,2026-06-11,testy,3,True,soare bless testy,0.0011899922492443914,342
1819,2026-06-12,break,4,True,soare tamer renal break,7.3904318779776e-05,691
1820,2026-06-13,quell,3,True,soare elect quell,0.0014101086251928202,284
1821,2026-06-14,sepia,3,True,soare steal sepia,0.0008782683218850452,402
1822,2026-06-15,broil,3,True,soare rutin broil,0.002678936886941195,72
1823,2026-06-16,amaze,2,True,soare amaze,0.0012649641661520755,320
1824,2026-06-17,token,3,True,soare chynd token,0.002554500122315094,86
1825,2026-06-18,entry,3,True,soare berry entry,0.0019257945324992684,183
1826,2026-06-19,emoji,4,True,soare felon video emoji,2.350060204109969e-06,8875
1827,2026-06-20,drake,3,True,soare graze drake,0.001973956039085114,174
1828,2026-06-21,alibi,3,True,soare canal alibi,0.0006731921970677903,425
1829,2026-06-22,ovate,2,True,soare ovate,0.000781094713860401,412
1830,2026-06-23,curry,3,True,soare churn curry,0.0022235283470380895,128
1831,2026-06-24,queer,3,True,soare drier queer,0.001517691427199558,264
1832,2026-06-25,unity,3,True,soare milty unity,0.002332635976391206,108
1833,2026-06-26,acute,4,True,soare guild haute acute,4.530693966745337e-05,1228
1834,2026-06-27,scoop,3,True,soare shock scoop,0.0012774631737423512,314
1835,2026-06-28,emcee,4,True,soare guilt fence emcee,0.0004576863450456057,450
1836,2026-06-29,crude,2,True,soare crude,0.004711609252163661,7
1837,2026-06-30,puppy,3,True,soare milty puppy,0.0006245737378638736,429
1838,2026-07-01,demur,3,True,soare drier demur,0.001158254369518141,347
1839,2026-07-02,maven,4,True,soare cleat maned maven,6.848113712910928e-06,4078
1840,2026-07-03,baton,3,True,soare bloat baton,3.566551196233911e-05,1900
1841,2026-07-04,pizza,4,True,soare canal amity pizza,0.0006283018624884152,427
1842,2026-07-05,swami,3,True,soare lynch swami,0.0002089268029273806,511
1843,2026-07-06,toddy,4,True,soare mulct booth toddy,0.0011762207017066877,338
1844,2026-07-07,sling,3,True,soare slink sling,0.0020331177587994157,160
1845,2026-07-08,demon,3,True,soare felon demon,0.00026932562484123317,497
1846,2026-07-09,amend,3,True,soare cleat amend,0.0019469294985890204,182
1847,2026-07-10,canal,2,True,soare canal,0.002622482773501299,80
1848,2026-07-11,avian,3,True,soare tying avian,0.00015591676224648696,523
1849,2026-07-12,clack,4,True,soare claim clank clack,0.001969860685157883,178
1850,2026-07-13,stout,4,True,soare shoot scout stout,3.869900635497869e-05,1658
1851,2026-07-14,steak,3,True,soare steal steak,0.002239027346881979,128
1852,2026-07-15,pshaw,4,True,soare palsy pumas pshaw,1.0269378132700571e-05,3504
